Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Georgia,25907,25637,27166,28807,30261,32323,32876,33256,34296,35416,36499,36981,36700,36271,36101,35821,35577,36087,35620,34449,34506,26455,20785,16639,10737,8469,6713,5897,5277,4883,5180,3764,3293,3553,3876,4766,5242,6139,5407,6152,5686,6713,6774,6622,6537
Germany,1072397,1066782,1092998,1142365,1112057,1052158,1112392,1092928,1130345,1180525,1127837,1092445,1045575,1060581,1076801,1080775,1074599,1065141,1058596,1044437,1007787,985520,932827,924312,912887,907280,934213,901635,894213,861368,859258,875957,861132,852763,859326,827058,839338,812443,823129,763706,804371,785755,794439,812609,767146
Ghana,2334,2373,2485,2538,2706,2878,2940,3045,2961,2626,2654,3198,2754,1729,2016,2362,2556,2722,2861,3191,3143,2922,3443,3544,3782,4056,4404,4605,6277,6851,6102,6464,7794,7141,6714,7206,8632,8975,8106,9826,11142,12148,13481,13780,14070
Gibraltar,69,69,59,59,59,62,62,59,56,78,94,88,97,87,84,90,116,128,143,137,143,206,240,243,288,284,287,297,316,328,341,350,356,362,394,409,425,422,431,472,478,459,465,465,468
Greece,29384,30400,37193,39766,38935,40914,45867,48108,50711,53572,53740,53325,54420,57913,59288,62665,62272,67455,71941,76632,78245,78230,80401,79914,81467,84496,84364,85364,88807,89047,96181,98294,98305,102042,101772,103963,102619,106237,102168,96280,89111,86926,83646,75873,71062
Greenland,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Grenada,37,37,45,49,45,57,52,56,54,53,62,71,73,75,82,77,88,109,108,115,146,146,146,149,173,166,182,206,206,216,429,400,405,399,389,403,423,434,406,427,508,471,472,472,477
Guadeloupe,505,501,495,561,485,579,554,573,606,569,596,651,729,768,884,839,922,1049,1202,1243,1286,1459,1381,1421,1446,1440,1475,1480,1431,1506,1741,1780,1841,1870,1892,1834,1768,1876,1855,1915,2131,2120,2127,2125,2146
Guam,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12
Guatemala,2485,2447,2713,2902,3010,3311,3282,3763,4162,4641,4655,4016,3651,3108,3494,3665,3180,3560,3508,3740,3899,4120,4831,5332,5777,6725,6508,6922,8622,8548,9585,10106,10565,10487,11128,11671,11884,12644,11430,12046,11786,11749,11895,11816,11953
Guinea,573,570,614,624,636,676,741,748,742,916,880,897,912,921,869,886,993,1271,1250,1191,1126,1167,1044,1073,1078,1235,1239,1283,1230,1362,1372,1429,1437,1533,1538,1390,1412,1514,1732,1652,1754,1870,1889,1984,2039
Guinea-Bissau,34,33,40,37,39,46,55,58,59,72,73,77,74,74,82,88,83,106,150,147,152,172,161,164,145,155,159,176,168,171,187,198,202,214,217,220,233,252,264,263,282,294,300,313,322
Guyana,1503,1510,1828,1899,1691,2104,1845,1996,1934,1809,1985,2090,1724,1641,1946,1871,2060,2303,1939,1676,1656,1754,1865,1885,1913,1843,1923,2123,2285,2475,2532,2649,2581,2546,2503,2428,2366,2479,2392,2479,2705,2718,2729,2726,2758
Haiti,529,534,518,546,595,602,806,842,882,864,854,749,888,978,1008,1041,974,1048,1126,1156,1136,1109,1031,872,408,1121,1274,1491,1516,1569,1598,1720,1970,1883,2131,2221,2263,2408,2491,2510,2302,2398,2279,2256,2288
Honduras,1214,1214,1265,1392,1364,1470,1545,1679,1694,1794,1856,1769,1739,2003,2051,1846,1881,2087,2236,2482,2339,2360,2654,2785,3175,3767,3946,4064,4733,4805,4983,5863,6160,6816,7578,7720,7138,8827,8567,8101,8005,8246,8539,8350,8447
Hungary,64977,66632,68669,73644,75883,77073,81027,84806,92179,90860,90201,89258,89004,85284,86921,85897,84315,85408,80572,78802,70728,67233,60381,61159,60945,60409,61686,60522,60382,60821,57553,59072,58408,61070,59043,59288,59218,57592,56556,50584,51435,49557,48521,45198,43735
Iceland,1932,2029,2243,2578,2521,2364,2387,2458,2533,2621,2427,2337,1978,2017,2242,2131,2139,2178,2296,2300,2335,2287,2300,2401,2510,2436,2709,2620,2689,2738,2852,2958,3098,3064,3167,3126,3232,3428,3788,3804,3658,3572,3631,3861,3849
India,231556,232574,242165,240779,258673,275960,294911,300362,286010,308293,322293,356663,382534,406496,444176,465499,505178,539689,573977,615280,652487,696193,733175,762748,808979,867356,914436,955415,969923,1040640,1059187,1078201,1112157,1146391,1205303,1258595,1354682,1440090,1536445,1737816,1840779,1957280,2079176,2171798,2341897
Indonesia,30805,31221,37027,41830,46695,48423,52039,71034,83014,89461,88876,93920,94609,93413,95043,102733,113490,116316,126868,132329,159309,172500,180544,197659,210151,234219,247825,271800,274030,291023,291788,313970,320774,350488,356222,358588,381045,395502,393067,408266,419709,429106,437886,439096,452977
Iran (Islamic Republic of),79337,85146,94943,112989,119954,121279,140269,147183,144240,133837,113982,113110,138584,156955,154841,164905,153914,162728,164232,175159,204193,224939,240419,239071,273187,277653,289635,302625,301564,332912,350959,365382,381384,403744,432838,467097,501376,534927,545479,566111,570493,580204,591021,602334,618197
Iraq,23107,27088,26967,29566,31856,36507,45819,41940,46124,56823,50742,35765,38126,41951,45855,51692,60369,60242,64623,71399,67848,55664,77099,101275,112108,112808,103996,122058,92582,75842,86067,90866,93979,88568,90747,90988,75178,81485,92416,110143,124253,132411,138058,140551,139287
Ireland,20762,23248,22891,22455,24293,22788,23402,24997,24808,29086,27860,27632,27281,26900,26882,28495,29444,31017,30162,31186,32274,32784,32741,32964,34199,34667,36086,37343,39883,41391,43618,45808,45020,44697,45720,47466,48897,47663,46990,41852,41719,36964,36369,34991,34639
Israel,14840,14862,15618,16703,17174,18007,18010,18785,20005,20381,20268,21128,22315,23087,23925,25599,28021,30628,32457,33732,35170,35815,38345,42052,45014,48067,51178,52827,53358,54789,59098,59045,62296,64047,63804,61686,64845,67178,67578,66886,70167,69576,70645,65937,64795
Italy,311732,325530,342816,365001,368384,351279,377967,369053,376015,392028,394612,383529,375405,370949,376835,376696,377634,397056,402780,420766,424391,422842,420520,414273,408531,433215,428286,431713,442635,449686,454233,453315,461477,479651,490509,491534,486283,478832,463211,411394,420570,410235,393677,365570,337648
Jamaica,5897,5885,6445,8418,8171,7791,6481,7115,7264,7271,6741,6708,5773,5766,5434,4854,4612,4889,5101,6543,7509,7466,8260,8411,8483,8781,9160,9370,9870,10137,10206,10273,10216,10519,10578,10616,12289,12204,11736,8267,7895,8327,8257,8188,8298
Japan,860046,858180,904127,1019488,1018118,963884,994543,1020254,1019963,1046300,1020819,998656,956531,958666,1027082,1001098,997858,1004524,1077207,1107594,1170070,1178259,1183391,1174898,1231361,1245660,1258965,1252766,1214452,1255025,1274130,1260325,1299196,1303740,1302737,1311258,1310073,1333488,1247433,1181509,1242266,1280084,1318420,1312963,1278922
Jordan,1554,1574,1846,2046,2140,2450,2949,3081,3658,3796,4785,5764,6439,7215,8132,8526,9188,9949,9329,9501,10188,10188,12088,12551,13138,13847,14288,14713,14932,14949,15571,15669,16711,16511,18552,19887,20205,21084,20655,21163,20654,21153,22249,22552,22296
